"Municipio","Departamento","Lenguaje","Evaluados"
"GRANADA","CUNDINAMARCA",45.95,86
"PACORA","CALDAS",45.95,166
"SAN AGUSTIN","HUILA",45.95,413
"BARRANQUILLA","ATLÁNTICO",45.94,12074
"MURILLO","TOLIMA",45.93,40
"CACHIPAY","CUNDINAMARCA",45.92,87
"TAMINANGO","NARIÑO",45.92,301
"CHINAVITA","BOYACÁ",45.91,42
"LA MERCED","CALDAS",45.91,102
"LOS SANTOS","SANTANDER",45.91,130
"PUEBLO BELLO","CESAR",45.91,107
"AGUACHICA","CESAR",45.9,737
"LA VEGA","CUNDINAMARCA",45.9,226
"TONA","SANTANDER",45.9,50
"LA DORADA","CALDAS",45.89,668
"ATACO","TOLIMA",45.88,140
"VILLA DEL ROSARIO","NORTE SANTANDER",45.88,795
"CURITI","SANTANDER",45.87,176
"MARQUETALIA","CALDAS",45.87,216
"MOLAGAVITA","SANTANDER",45.87,40
"SALADOBLANCO","HUILA",45.87,131
"CORDOBA","NARIÑO",45.86,202
"LABATECA","NORTE SANTANDER",45.86,72
"SABANAGRANDE","ATLÁNTICO",45.86,344
"DABEIBA","ANTIOQUIA",45.85,115
"LA UNION","VALLE",45.85,433
"PALMAS DEL SOCORRO","SANTANDER",45.85,26
"CONFINES","SANTANDER",45.83,40
"TESALIA","HUILA",45.83,110
"LA PLAYA","NORTE SANTANDER",45.82,57
"QUIPAMA","BOYACÁ",45.82,50
"SUAITA","SANTANDER",45.82,149
"CUBARRAL","META",45.81,73
"VILLAPINZON","CUNDINAMARCA",45.81,272
"LA PAZ","SANTANDER",45.79,49
"AGRADO","HUILA",45.78,72
"FRONTINO","ANTIOQUIA",45.78,225
"HATO","SANTANDER",45.77,26
"LA VIRGINIA","RISARALDA",45.77,397
"PIENDAMO","CAUCA",45.77,409
"SIMACOTA","SANTANDER",45.77,89
"TAME","ARAUCA",45.77,572
"PRADERA","VALLE",45.76,518
"CARACOLI","ANTIOQUIA",45.75,44
"EL CAIRO","VALLE",45.75,72
"ZIPACON","CUNDINAMARCA",45.75,71
"CORDOBA","QUINDÍO",45.74,74
"LA FLORIDA","NARIÑO",45.74,129
"ROVIRA","TOLIMA",45.74,272
"GAMA","CUNDINAMARCA",45.73,22
"VISTA HERMOSA","META",45.73,126
"CAMPOALEGRE","HUILA",45.72,242
"GUADUAS","CUNDINAMARCA",45.72,252
"PALESTINA","HUILA",45.71,94
"FOSCA","CUNDINAMARCA",45.7,64
"MARSELLA","RISARALDA",45.7,174
"ALVARADO","TOLIMA",45.69,84
"GIRALDO","ANTIOQUIA",45.69,62
"LA VEGA","CAUCA",45.69,172
"UMBITA","BOYACÁ",45.69,121
"ALBAN (SAN JOSE)","NARIÑO",45.68,161
"CHARTA","SANTANDER",45.68,25
"SAHAGUN","CÓRDOBA",45.68,1192
"ZAPATOCA","SANTANDER",45.68,131
"EL TABLON","NARIÑO",45.67,205
"GACHANTIVA","BOYACÁ",45.67,48
"SABOYA","BOYACÁ",45.67,195
"SINCE","SUCRE",45.67,291
"SUSACON","BOYACÁ",45.67,36
"MANTA","CUNDINAMARCA",45.66,78
"PITAL","HUILA",45.66,112
"GUAYABAL DE SIQUIMA","CUNDINAMARCA",45.65,82
"MACARAVITA","SANTANDER",45.65,40
"SUTATAUSA","CUNDINAMARCA",45.65,92
"VALDIVIA","ANTIOQUIA",45.65,81
"CAUCASIA","ANTIOQUIA",45.64,1050
"BELEN DE UMBRIA","RISARALDA",45.62,329
"CHISCAS","BOYACÁ",45.62,66
"RONDON","BOYACÁ",45.62,37
"CHOCONTA","CUNDINAMARCA",45.61,270
"LA PAZ (ROBLES)","CESAR",45.61,175
"RIOFRIO","VALLE",45.61,156
"VALLEDUPAR","CESAR",45.61,3922
"ARAUQUITA","ARAUCA",45.6,372
"BETANIA","ANTIOQUIA",45.6,91
"CAÑASGORDAS","ANTIOQUIA",45.6,218
"LIBORINA","ANTIOQUIA",45.6,116
"NORCASIA","CALDAS",45.6,48
"MUTISCUA","NORTE SANTANDER",45.59,34
"RIOBLANCO","TOLIMA",45.59,149
"MERCADERES","CAUCA",45.58,131
"CUCUNUBA","CUNDINAMARCA",45.57,109
"JUNIN","CUNDINAMARCA",45.57,102
"LA UNION","SUCRE",45.56,156
"SAN JUAN DE ARAMA","META",45.56,104
"SAN JUAN DEL CESAR","LA GUAJIRA",45.56,415
"SAN BERNARDO DEL VIENTO","CÓRDOBA",45.55,254
"CARMEN DE CARUPA","CUNDINAMARCA",45.54,93
"EL AGUILA","VALLE",45.54,110
"MORROA","SUCRE",45.53,112
"HELICONIA","ANTIOQUIA",45.52,42
"LA TEBAIDA","QUINDÍO",45.52,485
"ZARZAL","VALLE",45.52,471
"BUCARASICA","NORTE SANTANDER",45.51,43
"FLORIDA","VALLE",45.51,607
"BOAVITA","BOYACÁ",45.5,127
"FUENTE DE ORO","META",45.5,146
"SIACHOQUE","BOYACÁ",45.49,146
"URRAO","ANTIOQUIA",45.49,317
"LA APARTADA (LA FRONTERA)","CÓRDOBA",45.48,133
"BRICEÑO","BOYACÁ",45.47,32
"SAN LUIS","ANTIOQUIA",45.47,152
"DOLORES","TOLIMA",45.46,98
"PEQUE","ANTIOQUIA",45.46,85
"APARTADO","ANTIOQUIA",45.45,1196
"LEJANIAS","META",45.45,111
"YOTOCO","VALLE",45.45,132
"SAN RAFAEL","ANTIOQUIA",45.44,175
"BURITICA","ANTIOQUIA",45.43,63
"LENGUAZAQUE","CUNDINAMARCA",45.43,93
"BUGALAGRANDE","VALLE",45.42,259
"CUCUTILLA","NORTE SANTANDER",45.42,75
"GIRARDOT","CUNDINAMARCA",45.42,774
"SANTANDER DE QUILICHAO","CAUCA",45.42,1015
"CAICEDO","ANTIOQUIA",45.41,84
"CARMEN DE APICALA","TOLIMA",45.4,114
"SAN ANDRES","SANTANDER",45.4,146
"SAN PEDRO","VALLE",45.4,170
"TIERRALTA","CÓRDOBA",45.4,803
"ARMERO (GUAYABAL)","TOLIMA",45.39,129
"EL DORADO","META",45.39,56
"MACEO","ANTIOQUIA",45.39,103
"TIBU","NORTE SANTANDER",45.39,260
"TOTA","BOYACÁ",45.39,69
"COVARACHIA","BOYACÁ",45.38,52
"ACEVEDO","HUILA",45.37,151
"PLANETA RICA","CÓRDOBA",45.37,825
"TORO","VALLE",45.37,142
"CURILLO","CAQUETÁ",45.36,72
"EL COPEY","CESAR",45.36,250
"INZA","CAUCA",45.36,267
